date,store_nbr,family,sales,onpromotion
2016-08-02,15,PERSONAL CARE,249.0,7
2016-08-02,15,PRODUCE,791.947,81
2016-08-02,16,PERSONAL CARE,187.0,8
2016-08-02,16,PRODUCE,705.796,77
2016-08-02,17,PERSONAL CARE,379.0,7
2016-08-02,17,PRODUCE,2080.342,112
2016-08-02,18,PERSONAL CARE,168.0,8
2016-08-02,18,PRODUCE,2534.942,129
2016-08-02,19,PERSONAL CARE,233.0,11
2016-08-02,19,PRODUCE,476.412,71
2016-08-02,2,PERSONAL CARE,245.0,0
2016-08-02,2,PRODUCE,1830.217,1
2016-08-02,20,PERSONAL CARE,482.0,12
2016-08-02,20,PRODUCE,1622.223,113
2016-08-02,21,PERSONAL CARE,359.0,9
2016-08-02,21,PRODUCE,1606.552,109
2016-08-02,22,PERSONAL CARE,164.0,7
2016-08-02,22,PRODUCE,499.41,84
2016-08-02,23,PERSONAL CARE,172.0,1
2016-08-02,23,PRODUCE,1106.743,1
2016-08-02,24,PERSONAL CARE,328.0,1
2016-08-02,24,PRODUCE,3163.864,0
2016-08-02,25,PERSONAL CARE,74.0,1
2016-08-02,25,PRODUCE,940.009,0
2016-08-02,26,PERSONAL CARE,205.0,2
2016-08-02,26,PRODUCE,544.746,0
2016-08-02,27,PERSONAL CARE,219.0,2
2016-08-02,27,PRODUCE,2177.658,1
2016-08-02,28,PERSONAL CARE,467.0,6
2016-08-02,28,PRODUCE,3093.452,107
2016-08-02,29,PERSONAL CARE,274.0,7
2016-08-02,29,PRODUCE,2855.989,122
2016-08-02,3,PERSONAL CARE,514.0,3
2016-08-02,3,PRODUCE,6546.802,1
2016-08-02,30,PERSONAL CARE,166.0,4
2016-08-02,30,PRODUCE,991.914,76
2016-08-02,31,PERSONAL CARE,439.0,9
2016-08-02,31,PRODUCE,2391.536,117
2016-08-02,32,PERSONAL CARE,109.0,5
2016-08-02,32,PRODUCE,345.335,43
2016-08-02,33,PERSONAL CARE,311.0,7
2016-08-02,33,PRODUCE,2116.71,90
2016-08-02,34,PERSONAL CARE,352.0,8
2016-08-02,34,PRODUCE,1378.927,105
2016-08-02,35,PERSONAL CARE,119.0,4
2016-08-02,35,PRODUCE,644.266,76
2016-08-02,36,PERSONAL CARE,415.0,8
2016-08-02,36,PRODUCE,3208.978,131
2016-08-02,37,PERSONAL CARE,270.0,1
2016-08-02,37,PRODUCE,2650.588,1
2016-08-02,38,PERSONAL CARE,348.0,2
2016-08-02,38,PRODUCE,1659.691,1
2016-08-02,39,PERSONAL CARE,392.0,9
2016-08-02,39,PRODUCE,3251.685,159
2016-08-02,4,PERSONAL CARE,252.0,1
2016-08-02,4,PRODUCE,1837.723,0
2016-08-02,40,PERSONAL CARE,480.0,11
2016-08-02,40,PRODUCE,2104.287,107
2016-08-02,41,PERSONAL CARE,232.0,1
2016-08-02,41,PRODUCE,1495.168,0
2016-08-02,42,PERSONAL CARE,204.0,2
2016-08-02,42,PRODUCE,2073.876,1
2016-08-02,43,PERSONAL CARE,308.0,8
2016-08-02,43,PRODUCE,1254.756,88
2016-08-02,44,PERSONAL CARE,501.0,1
2016-08-02,44,PRODUCE,7786.81,1
2016-08-02,45,PERSONAL CARE,695.0,3
2016-08-02,45,PRODUCE,5169.966,1
2016-08-02,46,PERSONAL CARE,810.0,4
2016-08-02,46,PRODUCE,2311.924,1
2016-08-02,47,PERSONAL CARE,670.0,2
2016-08-02,47,PRODUCE,4897.443,0
2016-08-02,48,PERSONAL CARE,821.0,3
2016-08-02,48,PRODUCE,1695.568,0
2016-08-02,49,PERSONAL CARE,460.0,2
2016-08-02,49,PRODUCE,6060.515,1
2016-08-02,5,PERSONAL CARE,279.0,1
2016-08-02,5,PRODUCE,1445.537,1
2016-08-02,50,PERSONAL CARE,585.0,2
2016-08-02,50,PRODUCE,1880.0599,1
2016-08-02,51,PERSONAL CARE,264.0,2
2016-08-02,51,PRODUCE,4547.117,1
2016-08-02,52,PERSONAL CARE,0.0,0
2016-08-02,52,PRODUCE,0.0,0
2016-08-02,53,PERSONAL CARE,359.0,1
2016-08-02,53,PRODUCE,2383.421,1
2016-08-02,54,PERSONAL CARE,212.0,5
2016-08-02,54,PRODUCE,880.321,43
2016-08-02,6,PERSONAL CARE,366.0,2
2016-08-02,6,PRODUCE,2083.188,1
2016-08-02,7,PERSONAL CARE,246.0,2
2016-08-02,7,PRODUCE,4350.342,0
2016-08-02,8,PERSONAL CARE,366.0,2
2016-08-02,8,PRODUCE,3729.634,0
2016-08-02,9,PERSONAL CARE,614.0,10
2016-08-02,9,PRODUCE,2244.222,136
2016-08-03,1,PERSONAL CARE,200.0,0
2016-08-03,1,PRODUCE,4105.28,214
2016-08-03,10,PERSONAL CARE,178.0,6
2016-08-03,10,PRODUCE,218.198,2
2016-08-03,11,PERSONAL CARE,622.0,12
2016-08-03,11,PRODUCE,1304.541,2
2016-08-03,12,PERSONAL CARE,182.0,8
2016-08-03,12,PRODUCE,325.358,2
2016-08-03,13,PERSONAL CARE,263.0,8
2016-08-03,13,PRODUCE,183.418,2
2016-08-03,14,PERSONAL CARE,379.0,10
2016-08-03,14,PRODUCE,249.486,3
2016-08-03,15,PERSONAL CARE,241.0,9
2016-08-03,15,PRODUCE,532.254,4
2016-08-03,16,PERSONAL CARE,188.0,5
2016-08-03,16,PRODUCE,428.113,2
2016-08-03,17,PERSONAL CARE,317.0,9
2016-08-03,17,PRODUCE,1294.622,2
2016-08-03,18,PERSONAL CARE,160.0,9
2016-08-03,18,PRODUCE,1067.365,3
2016-08-03,19,PERSONAL CARE,194.0,10
2016-08-03,19,PRODUCE,287.436,2
2016-08-03,2,PERSONAL CARE,205.0,1
2016-08-03,2,PRODUCE,3117.614,211
2016-08-03,20,PERSONAL CARE,454.0,11
2016-08-03,20,PRODUCE,799.998,2
2016-08-03,21,PERSONAL CARE,258.0,8
2016-08-03,21,PRODUCE,914.724,3
2016-08-03,22,PERSONAL CARE,178.0,10
2016-08-03,22,PRODUCE,395.325,3
2016-08-03,23,PERSONAL CARE,150.0,0
2016-08-03,23,PRODUCE,1293.049,185
2016-08-03,24,PERSONAL CARE,310.0,2
2016-08-03,24,PRODUCE,6207.082,207
2016-08-03,25,PERSONAL CARE,85.0,1
2016-08-03,25,PRODUCE,2082.63,148
2016-08-03,26,PERSONAL CARE,148.0,1
2016-08-03,26,PRODUCE,1006.215,115
2016-08-03,27,PERSONAL CARE,237.0,3
2016-08-03,27,PRODUCE,3847.324,214
2016-08-03,28,PERSONAL CARE,641.0,7
2016-08-03,28,PRODUCE,1096.477,3
2016-08-03,29,PERSONAL CARE,223.0,7
2016-08-03,29,PRODUCE,962.191,3
2016-08-03,3,PERSONAL CARE,494.0,2
2016-08-03,3,PRODUCE,10931.256,207
2016-08-03,30,PERSONAL CARE,64.0,2
2016-08-03,30,PRODUCE,388.65298,2
2016-08-03,31,PERSONAL CARE,336.0,9
2016-08-03,31,PRODUCE,817.924,1
2016-08-03,32,PERSONAL CARE,111.0,3
2016-08-03,32,PRODUCE,116.265,2
2016-08-03,33,PERSONAL CARE,250.0,5
2016-08-03,33,PRODUCE,1120.199,3
2016-08-03,34,PERSONAL CARE,472.0,9
2016-08-03,34,PRODUCE,589.72,2
2016-08-03,35,PERSONAL CARE,106.0,6
2016-08-03,35,PRODUCE,279.81,3
2016-08-03,36,PERSONAL CARE,283.0,11
2016-08-03,36,PRODUCE,1082.357,2
2016-08-03,37,PERSONAL CARE,322.0,1
2016-08-03,37,PRODUCE,4164.127,201
2016-08-03,38,PERSONAL CARE,352.0,2
2016-08-03,38,PRODUCE,3150.486,176
2016-08-03,39,PERSONAL CARE,279.0,9
2016-08-03,39,PRODUCE,1264.945,3
2016-08-03,4,PERSONAL CARE,226.0,2
2016-08-03,4,PRODUCE,3089.332,183
2016-08-03,40,PERSONAL CARE,338.0,8
2016-08-03,40,PRODUCE,975.981,3
2016-08-03,41,PERSONAL CARE,247.0,1
2016-08-03,41,PRODUCE,2354.04,176
2016-08-03,42,PERSONAL CARE,190.0,3
2016-08-03,42,PRODUCE,2621.891,192
2016-08-03,43,PERSONAL CARE,254.0,7
2016-08-03,43,PRODUCE,552.954,2
2016-08-03,44,PERSONAL CARE,589.0,1
2016-08-03,44,PRODUCE,12082.01,215
2016-08-03,45,PERSONAL CARE,598.0,3
2016-08-03,45,PRODUCE,8241.885,212
2016-08-03,46,PERSONAL CARE,644.0,1
2016-08-03,46,PRODUCE,3333.508,215
2016-08-03,47,PERSONAL CARE,748.0,2
2016-08-03,47,PRODUCE,7859.046,213
2016-08-03,48,PERSONAL CARE,736.0,3
2016-08-03,48,PRODUCE,2455.13,198
2016-08-03,49,PERSONAL CARE,446.0,3
2016-08-03,49,PRODUCE,9738.007,227
2016-08-03,5,PERSONAL CARE,273.0,2
2016-08-03,5,PRODUCE,2055.226,178
2016-08-03,50,PERSONAL CARE,523.0,1
2016-08-03,50,PRODUCE,2539.253,218
2016-08-03,51,PERSONAL CARE,297.0,3
2016-08-03,51,PRODUCE,9058.708,195
2016-08-03,52,PERSONAL CARE,0.0,0
2016-08-03,52,PRODUCE,0.0,0
2016-08-03,53,PERSONAL CARE,376.0,1
2016-08-03,53,PRODUCE,3908.48,169
2016-08-03,54,PERSONAL CARE,160.0,4
2016-08-03,54,PRODUCE,598.399,3
2016-08-03,6,PERSONAL CARE,314.0,2
2016-08-03,6,PRODUCE,3081.728,187
2016-08-03,7,PERSONAL CARE,267.0,1
2016-08-03,7,PRODUCE,7237.321,222
2016-08-03,8,PERSONAL CARE,309.0,1
2016-08-03,8,PRODUCE,6559.476,226
2016-08-03,9,PERSONAL CARE,577.0,11
2016-08-03,9,PRODUCE,1325.59,3
2016-08-04,1,PERSONAL CARE,156.0,2
2016-08-04,1,PRODUCE,1909.962,0
2016-08-04,10,PERSONAL CARE,183.0,5
2016-08-04,10,PRODUCE,211.638,2
2016-08-04,11,PERSONAL CARE,497.0,6
2016-08-04,11,PRODUCE,1138.988,1
2016-08-04,12,PERSONAL CARE,219.0,5
2016-08-04,12,PRODUCE,311.427,1
2016-08-04,13,PERSONAL CARE,170.0,4
2016-08-04,13,PRODUCE,203.23401,1
2016-08-04,14,PERSONAL CARE,346.0,6
2016-08-04,14,PRODUCE,301.516,2
2016-08-04,15,PERSONAL CARE,171.0,5
2016-08-04,15,PRODUCE,490.411,2
2016-08-04,16,PERSONAL CARE,138.0,4
2016-08-04,16,PRODUCE,429.779,2
2016-08-04,17,PERSONAL CARE,235.0,4
2016-08-04,17,PRODUCE,1230.989,1
2016-08-04,18,PERSONAL CARE,148.0,7
2016-08-04,18,PRODUCE,994.32,2
2016-08-04,19,PERSONAL CARE,168.0,5
2016-08-04,19,PRODUCE,298.366,1
2016-08-04,2,PERSONAL CARE,222.0,3
2016-08-04,2,PRODUCE,1889.154,1
2016-08-04,20,PERSONAL CARE,353.0,9
2016-08-04,20,PRODUCE,936.571,1
2016-08-04,21,PERSONAL CARE,275.0,6
2016-08-04,21,PRODUCE,646.349,0
2016-08-04,22,PERSONAL CARE,152.0,6
2016-08-04,22,PRODUCE,263.193,2
2016-08-04,23,PERSONAL CARE,136.0,2
2016-08-04,23,PRODUCE,1022.0,1
2016-08-04,24,PERSONAL CARE,232.0,2
2016-08-04,24,PRODUCE,2808.428,1
2016-08-04,25,PERSONAL CARE,100.0,2
2016-08-04,25,PRODUCE,938.124,0
2016-08-04,26,PERSONAL CARE,93.0,0
2016-08-04,26,PRODUCE,304.892,0
2016-08-04,27,PERSONAL CARE,155.0,3
2016-08-04,27,PRODUCE,1857.694,2
2016-08-04,28,PERSONAL CARE,207.0,7
2016-08-04,28,PRODUCE,1132.352,2
2016-08-04,29,PERSONAL CARE,267.0,6
2016-08-04,29,PRODUCE,860.757,2
2016-08-04,3,PERSONAL CARE,382.0,2
2016-08-04,3,PRODUCE,5914.017,1
2016-08-04,30,PERSONAL CARE,88.0,3
2016-08-04,30,PRODUCE,463.18,1
2016-08-04,31,PERSONAL CARE,274.0,4
2016-08-04,31,PRODUCE,798.368,1
2016-08-04,32,PERSONAL CARE,71.0,2
2016-08-04,32,PRODUCE,129.359,1
2016-08-04,33,PERSONAL CARE,186.0,5
2016-08-04,33,PRODUCE,997.88,2
2016-08-04,34,PERSONAL CARE,367.0,5
2016-08-04,34,PRODUCE,514.293,1
2016-08-04,35,PERSONAL CARE,44.0,3
2016-08-04,35,PRODUCE,257.364,2
2016-08-04,36,PERSONAL CARE,214.0,9
2016-08-04,36,PRODUCE,975.017,1
2016-08-04,37,PERSONAL CARE,217.0,2
2016-08-04,37,PRODUCE,2127.061,1
2016-08-04,38,PERSONAL CARE,250.0,4
2016-08-04,38,PRODUCE,1567.317,1
2016-08-04,39,PERSONAL CARE,306.0,7
2016-08-04,39,PRODUCE,1443.909,2
2016-08-04,4,PERSONAL CARE,198.0,2
2016-08-04,4,PRODUCE,1825.968,0
2016-08-04,40,PERSONAL CARE,354.0,5
2016-08-04,40,PRODUCE,971.37,2
2016-08-04,41,PERSONAL CARE,209.0,4
2016-08-04,41,PRODUCE,1581.25,1
2016-08-04,42,PERSONAL CARE,168.0,2
2016-08-04,42,PRODUCE,2126.877,1
2016-08-04,43,PERSONAL CARE,216.0,5
2016-08-04,43,PRODUCE,435.703,1
2016-08-04,44,PERSONAL CARE,340.0,2
2016-08-04,44,PRODUCE,6435.75,1
2016-08-04,45,PERSONAL CARE,480.0,4
2016-08-04,45,PRODUCE,4915.373,2
2016-08-04,46,PERSONAL CARE,561.0,3
2016-08-04,46,PRODUCE,2422.5571,2
2016-08-04,47,PERSONAL CARE,555.0,2
2016-08-04,47,PRODUCE,4369.061,2
2016-08-04,48,PERSONAL CARE,597.0,3
2016-08-04,48,PRODUCE,1666.075,1
2016-08-04,49,PERSONAL CARE,382.0,3
2016-08-04,49,PRODUCE,5664.732,1
2016-08-04,5,PERSONAL CARE,224.0,3
2016-08-04,5,PRODUCE,1357.68,1
2016-08-04,50,PERSONAL CARE,387.0,4
2016-08-04,50,PRODUCE,1873.478,1
2016-08-04,51,PERSONAL CARE,141.0,3
2016-08-04,51,PRODUCE,4275.208,1
2016-08-04,52,PERSONAL CARE,0.0,0
2016-08-04,52,PRODUCE,0.0,0
2016-08-04,53,PERSONAL CARE,295.0,3
2016-08-04,53,PRODUCE,1885.358,1
2016-08-04,54,PERSONAL CARE,109.0,2
2016-08-04,54,PRODUCE,421.827,2
2016-08-04,6,PERSONAL CARE,259.0,2
2016-08-04,6,PRODUCE,1817.311,1
2016-08-04,7,PERSONAL CARE,211.0,3
2016-08-04,7,PRODUCE,3825.918,0
2016-08-04,8,PERSONAL CARE,246.0,2
2016-08-04,8,PRODUCE,3454.2031,1
2016-08-04,9,PERSONAL CARE,455.0,8
2016-08-04,9,PRODUCE,1236.241,2
2016-08-05,1,PERSONAL CARE,138.0,1
2016-08-05,1,PRODUCE,2439.685,1
2016-08-05,10,PERSONAL CARE,146.0,5
2016-08-05,10,PRODUCE,187.464,3
2016-08-05,11,PERSONAL CARE,376.0,7
2016-08-05,11,PRODUCE,1226.435,1
2016-08-05,12,PERSONAL CARE,147.0,6
2016-08-05,12,PRODUCE,291.068,1
2016-08-05,13,PERSONAL CARE,222.0,6
2016-08-05,13,PRODUCE,133.828,1
2016-08-05,14,PERSONAL CARE,297.0,5
2016-08-05,14,PRODUCE,362.479,2
2016-08-05,15,PERSONAL CARE,190.0,6
2016-08-05,15,PRODUCE,513.439,2
2016-08-05,16,PERSONAL CARE,133.0,3
2016-08-05,16,PRODUCE,386.876,2
2016-08-05,17,PERSONAL CARE,196.0,5
2016-08-05,17,PRODUCE,1027.276,1
2016-08-05,18,PERSONAL CARE,129.0,8
2016-08-05,18,PRODUCE,892.486,2
2016-08-05,19,PERSONAL CARE,190.0,5
2016-08-05,19,PRODUCE,360.701,1
2016-08-05,2,PERSONAL CARE,211.0,2
2016-08-05,2,PRODUCE,2213.371,2
2016-08-05,20,PERSONAL CARE,307.0,7
2016-08-05,20,PRODUCE,718.294,1
2016-08-05,21,PERSONAL CARE,267.0,6
2016-08-05,21,PRODUCE,787.14,1
2016-08-05,22,PERSONAL CARE,85.0,5
2016-08-05,22,PRODUCE,365.778,3
2016-08-05,23,PERSONAL CARE,104.0,2
2016-08-05,23,PRODUCE,1265.665,1
2016-08-05,24,PERSONAL CARE,251.0,2
2016-08-05,24,PRODUCE,3694.925,1
2016-08-05,25,PERSONAL CARE,86.0,2
2016-08-05,25,PRODUCE,1247.726,0
2016-08-05,26,PERSONAL CARE,98.0,1
2016-08-05,26,PRODUCE,459.532,0
2016-08-05,27,PERSONAL CARE,154.0,2
2016-08-05,27,PRODUCE,2049.128,1
2016-08-05,28,PERSONAL CARE,194.0,5
2016-08-05,28,PRODUCE,860.354,1
2016-08-05,29,PERSONAL CARE,148.0,8
2016-08-05,29,PRODUCE,694.525,2
2016-08-05,3,PERSONAL CARE,429.0,3
2016-08-05,3,PRODUCE,7354.89,1
2016-08-05,30,PERSONAL CARE,61.0,2
2016-08-05,30,PRODUCE,358.049,1
2016-08-05,31,PERSONAL CARE,225.0,4
2016-08-05,31,PRODUCE,980.006,2
2016-08-05,32,PERSONAL CARE,85.0,2
2016-08-05,32,PRODUCE,110.334,2
2016-08-05,33,PERSONAL CARE,177.0,7
2016-08-05,33,PRODUCE,1003.374,2
2016-08-05,34,PERSONAL CARE,357.0,7
2016-08-05,34,PRODUCE,624.945,1
2016-08-05,35,PERSONAL CARE,47.0,3
2016-08-05,35,PRODUCE,310.498,2
2016-08-05,36,PERSONAL CARE,167.0,4
2016-08-05,36,PRODUCE,908.655,1
2016-08-05,37,PERSONAL CARE,218.0,1
2016-08-05,37,PRODUCE,2615.031,1
2016-08-05,38,PERSONAL CARE,296.0,2
2016-08-05,38,PRODUCE,1780.889,1
2016-08-05,39,PERSONAL CARE,264.0,7
2016-08-05,39,PRODUCE,1408.721,1
2016-08-05,4,PERSONAL CARE,190.0,3
2016-08-05,4,PRODUCE,2040.51,1
2016-08-05,40,PERSONAL CARE,231.0,6
2016-08-05,40,PRODUCE,918.916,2
2016-08-05,41,PERSONAL CARE,191.0,1
2016-08-05,41,PRODUCE,1512.067,1
2016-08-05,42,PERSONAL CARE,147.0,1
2016-08-05,42,PRODUCE,1922.673,1
2016-08-05,43,PERSONAL CARE,227.0,6
2016-08-05,43,PRODUCE,601.857,1
2016-08-05,44,PERSONAL CARE,414.0,2
2016-08-05,44,PRODUCE,8228.984,1
2016-08-05,45,PERSONAL CARE,483.0,2
2016-08-05,45,PRODUCE,6152.638,1
2016-08-05,46,PERSONAL CARE,556.0,4
2016-08-05,46,PRODUCE,2285.423,1
2016-08-05,47,PERSONAL CARE,551.0,2
2016-08-05,47,PRODUCE,4482.275,1
2016-08-05,48,PERSONAL CARE,604.0,5
2016-08-05,48,PRODUCE,1493.615,1
2016-08-05,49,PERSONAL CARE,371.0,2
2016-08-05,49,PRODUCE,6557.927,2
2016-08-05,5,PERSONAL CARE,174.0,3
2016-08-05,5,PRODUCE,1213.397,1
2016-08-05,50,PERSONAL CARE,444.0,4
2016-08-05,50,PRODUCE,2054.654,1
2016-08-05,51,PERSONAL CARE,205.0,2
2016-08-05,51,PRODUCE,5201.506,1
2016-08-05,52,PERSONAL CARE,0.0,0
2016-08-05,52,PRODUCE,0.0,0
2016-08-05,53,PERSONAL CARE,284.0,2
2016-08-05,53,PRODUCE,2193.042,1
2016-08-05,54,PERSONAL CARE,172.0,2
2016-08-05,54,PRODUCE,579.407,2
2016-08-05,6,PERSONAL CARE,287.0,3
2016-08-05,6,PRODUCE,2292.5989,1
2016-08-05,7,PERSONAL CARE,193.0,2
2016-08-05,7,PRODUCE,4633.5103,0
2016-08-05,8,PERSONAL CARE,301.0,3
2016-08-05,8,PRODUCE,4466.095,1
2016-08-05,9,PERSONAL CARE,389.0,7
2016-08-05,9,PRODUCE,1176.544,2
2016-08-06,1,PERSONAL CARE,135.0,1
2016-08-06,1,PRODUCE,2527.542,2
2016-08-06,10,PERSONAL CARE,200.0,7
2016-08-06,10,PRODUCE,231.372,2
2016-08-06,11,PERSONAL CARE,551.0,9
2016-08-06,11,PRODUCE,1411.919,1
2016-08-06,12,PERSONAL CARE,179.0,6
2016-08-06,12,PRODUCE,371.151,1
2016-08-06,13,PERSONAL CARE,286.0,6
2016-08-06,13,PRODUCE,220.055,1
2016-08-06,14,PERSONAL CARE,416.0,6
2016-08-06,14,PRODUCE,437.348,2
2016-08-06,15,PERSONAL CARE,157.0,4
2016-08-06,15,PRODUCE,456.843,2
2016-08-06,16,PERSONAL CARE,194.0,4
2016-08-06,16,PRODUCE,527.767,2
2016-08-06,17,PERSONAL CARE,354.0,6
2016-08-06,17,PRODUCE,1333.544,1
2016-08-06,18,PERSONAL CARE,226.0,7
2016-08-06,18,PRODUCE,1426.347,1
2016-08-06,19,PERSONAL CARE,395.0,7
2016-08-06,19,PRODUCE,430.883,1
2016-08-06,2,PERSONAL CARE,317.0,3
2016-08-06,2,PRODUCE,2495.563,1
2016-08-06,20,PERSONAL CARE,476.0,7
2016-08-06,20,PRODUCE,1061.741,1
2016-08-06,21,PERSONAL CARE,423.0,5
2016-08-06,21,PRODUCE,1309.593,0
2016-08-06,22,PERSONAL CARE,151.0,6
2016-08-06,22,PRODUCE,330.626,2
2016-08-06,23,PERSONAL CARE,150.0,2
2016-08-06,23,PRODUCE,1211.157,1
2016-08-06,24,PERSONAL CARE,324.0,2
2016-08-06,24,PRODUCE,3450.124,1
2016-08-06,25,PERSONAL CARE,109.0,0
2016-08-06,25,PRODUCE,1399.992,0
2016-08-06,26,PERSONAL CARE,139.0,0
2016-08-06,26,PRODUCE,475.377,0
2016-08-06,27,PERSONAL CARE,253.0,2
2016-08-06,27,PRODUCE,2805.0,1
2016-08-06,28,PERSONAL CARE,383.0,7
2016-08-06,28,PRODUCE,1596.485,2
2016-08-06,29,PERSONAL CARE,293.0,8
2016-08-06,29,PRODUCE,1101.82,2
2016-08-06,3,PERSONAL CARE,565.0,3
